article_id,y,rationale,scope
dc717fb4-a176-4631-810a-8509737e0758,0,"The headline and description explicitly state the company filed for bankruptcy.",company
bb686dbc-f3a0-440b-97d9-8a5dea2753fc,0,"The headline explicitly states futures ""slip"" due to inflation and trade plan issues.",market
dea503ee-1220-4139-9f16-3e20d4bd2be7,2,"The company ""Inks $250M"" investment, which is a significant positive financial event.",company
07879ce7-130c-44b9-b857-fadb16c78b57,0,"SEC suing a person/company is a negative event.",company
8759b759-58cb-4467-98a6-f88b0114a8e3,0,"The headline explicitly states futures ""slide"" as investors brace for tariffs.",market
81e3280f-9cc5-4c59-ba9f-15425991bc78,2,"The title mentions ""better-than-expected earnings"" and ""moving Higher"".",company
6964f0c7-b7ae-458a-9cc8-e5e5bfafc75a,2,"The title and description mention the company ""Beats"" a market upswing, which is positive for the company's performance.",company
fcc9e94f-dbae-42df-936b-296f6da987bf,0,"The title and description explicitly state stocks ""plummet"" and major indices were ""down"".",market
2a35658c-86cb-40cd-b923-bdc3c68b1124,1,"This is a general list of highest paid CEOs, which is a neutral news item about corporate compensation.",company
6dd22d20-8312-43dd-b785-f7a9d4dda83c,1,"The article is a neutral investment analysis titled ""there are better choices"". While it mentions positive aspects, the overall recommendation is ""Hold"", indicating a neutral stance.",company
72fb5f9f-7364-4593-bda0-511a948fa9e5,1,"Providing balance sheet information and announcing NAV is a neutral, routine financial disclosure.",company
d245f56e-39f0-4aaf-a7bd-c69b2f214828,1,"Announcing tax package availability is a neutral, routine corporate announcement.",company
fd8daafa-9d73-4f30-b568-607123bc099e,1,"Announcing the date of an earnings release is a neutral, routine corporate announcement.",company
2ce08712-599f-456c-960d-61a9e8d1976e,2,"A share buyback program is a positive event for shareholders.",company
188d6ad1-c4c1-4b61-b1f8-c7dfde534881,2,"Announcing a quarterly dividend is a positive event for shareholders.",company
8da7c6d4-d686-46ea-a92c-f3f8b9924baf,2,"The headline states funding round, which is a positive event for a company.",company
d47e8162-085f-4776-bc7d-740b3f5ae587,2,"Plan to take companies public is generally a positive development.",company
6f17629b-aa16-47f4-9d61-6b18aa96f6dd,0,"The company is discontinuing operations, which is a negative event.",company
7c15dee0-931b-47ba-8a8f-f053cc57e1e6,1,"Announcing a partnership is a neutral business update without explicit financial or market impact.",company
39923fa6-7cdd-4bc4-9e6c-938d7b573c38,1,"Announcing the date of an earnings release is a neutral, routine corporate announcement.",company
93fb5d53-4867-4739-8277-2004fbacef3b,2,"Declaring a quarterly dividend is a positive event for shareholders.",company
ee129160-72b8-4435-8121-f6fcb22e5274,1,"Earnings call transcript is a neutral, factual document. The sentiment is based on the content of the discussion, which isn't provided.",company
c1ab9914-e583-4518-b33a-008455a61c18,0,"Director selling a large amount of stock can be perceived as negative news.",company
5e1a997e-c381-4bfb-8e7d-f2e62826fed7,2,"The headline explicitly states ""Futures Rise"".",market
66102ad6-ec5d-40f8-9e87-5002ed8fbea9,2,"The title mentions ""gains"" and ""upbeat earnings"", which are positive indicators.",market
c124309a-fadd-4ec7-ac8c-77518c07a4e4,1,"Earnings call presentation is a neutral, factual document. The sentiment is based on the content of the discussion, which isn't provided.",company
d068e5b0-7e7f-41f2-a288-18f45289a443,2,"The title mentions ""Attractive"" and ""Continued Growth"", which are positive terms.",company
84f76dbd-0bfa-4342-8bb5-5357fcf7655a,1,"Earnings call transcript is a neutral, factual document. The sentiment is based on the content of the discussion, which isn't provided.",company
a822dc94-89e8-4c8f-9f2f-69ccadac05ab,1,"Conference transcript is a neutral, factual document. The sentiment is based on the content of the discussion, which isn't provided.",company
5a5969cc-0ae0-4aa4-9080-3ec8a0579b4f,2,"The headline explicitly states ""Futures Gain"".",market
7ec8e47f-9e95-4bea-8ad2-9dcfc0193a2f,2,"The title mentions ""Best Consulting Stocks to Buy"".",company
0464fe84-88c5-4446-929c-4ce01ee8e98f,2,"Declaring a quarterly dividend is a positive event for shareholders.",company
2a5d16f2-1d81-41e2-ad8f-a601827ff83e,1,"Announcing participation in an event is a neutral corporate update.",company
bf4dd9b8-7c11-4339-a5ae-6d4d9237498b,1,"Earnings call presentation is a neutral, factual document. The sentiment is based on the content of the discussion, which isn't provided.",company
7c5f99ef-86af-4268-bbde-c775390449c4,1,"Earnings call presentation is a neutral, factual document. The sentiment is based on the content of the discussion, which isn't provided.",company
43c6e072-99cb-4783-814b-e74333b97aba,2,"The headline mentions a ""historic win streak"" for the S&P 500.",market
9162cd1a-eb0e-4f5a-90f2-f73307380c09,2,"Awarded the highest Platinum rating for sustainability is a positive development for the company.",company
cd592b83-d58a-4e04-b017-27c0bc74bfd4,2,"The headline mentions ""A Good Play On Reshoring"" and the description mentions ""solid industrial REIT option with steady growth"".",company
dda31092-855d-445c-af18-a27c638cb0b3,0,"The article explicitly states the stock ""Moves -1.28%"" and provides no other positive information.",company
a93de1ee-51fc-4f95-9e1d-2a01f2bf9234,2,"Acquiring a facility for $67M is a positive business development, indicating growth/expansion.",company
f235f150-b2a0-4eea-9215-4d709bab5510,2,"The title explicitly states the stock ""Advances"" while the market declines, a positive sign.",company
e2264836-506a-4df4-858f-f8e7c6a4eb8e,2,"The title mentions ""Top 10 Stocks to Buy"", which is a positive recommendation.",company
4077c956-e44a-4c37-8029-4b0d1d2083d5,2,"The article mentions ""declaration of Preferred Stock"" which is a positive event.",company
c8ae0ead-5a84-4cd6-9aa8-fc7895a245f6,1,"This is a general analysis of why investors like healthcare shares, which is a neutral article type without a specific positive/negative event.",company
381881ff-e6b1-48f9-a320-c6c939f95587,0,"This is a notice about a pending class action lawsuit, which is a negative event for the company.",company
112e0c69-ec94-42b8-ae46-2a659bddfb4f,1,"This is a general analysis of a stock without an explicit positive or negative event.",company
aad03b0f-e156-4661-b24f-8bad25dbd543,1,"This is a general analysis of a stock without an explicit positive or negative event.",company
15eca5de-1f18-4da8-8472-07010908db05,0,"This is an alert about a class action lawsuit for shareholders with losses, a negative event.",company
4ea6ef4f-17ab-49ca-ab1e-88472e1c75fa,2,"The title mentions ""better-than-expected earnings"" and stocks ""Moving Higher"".",company
502475e3-c118-4b5f-b4b2-1d5c75631a42,2,"Recognized as an Honor Roll Company for gender parity is a positive corporate recognition.",company
f5c44b78-e6ce-4454-9fd0-807e0434c978,1,"Highlighting a strategic need is a neutral business update.",company
2066fd54-a01b-41ab-bb94-b4d65ba443d6,1,"Appointment of a board member is a neutral, routine corporate announcement.",company
13c2a30b-98bb-4f4f-bcd0-543b5c0bbc33,0,"This is an investor alert about a class action lawsuit for substantial losses, a negative event.",company
bafd93ff-f47e-4b96-ba5e-a3a8aff608fe,2,"Declaring a quarterly common stock dividend is a positive event for shareholders.",company
c5bc6c0d-68a5-4b52-8fd8-2c1ca802d2c0,2,"The headline mentions the company is now among the ""10 most valuable"" U.S. tech companies and its stock ""surge"".",company
db6fd31a-7165-49e4-9f21-51e793df4af5,2,"The title explicitly states the stock ""Climbs"".",company
7a800c7b-0d7a-431a-9287-bdde2125f5ea,1,"General news about the future of Canadian tech without a specific company event.",market
e06a5ec0-d2eb-4a0c-8f70-69320e347d65,2,"The headline explicitly states stocks ""Climb"" after being tapped for a program.",company
5e6cd957-328d-4c1c-b6a4-aa2e4f508980,2,"The headline mentions ""Bulls And Bears"" but the sub-headline clearly says ""Markets Rallied In May"".",market
7b96061e-d052-48be-b2a2-17fe6fba0135,0,"The headline and description point to ""Decline"" and a ""Cautionary Tale"".",company
d5bf0260-e6dd-4036-9e72-0be815019f27,1,"The article mentions mixed performance and flat futures, with a neutral tone.",market
4d7075b0-01c1-4f25-bb6a-24a125e7eb0c,0,"The headline states ""Not a pretty picture as tariff fears weigh"".",market
4429228a-f58a-43ab-847b-b3592407fa13,1,"The headline mentions a battle between bulls and bears and gold outshining tech, which suggests a mixed/neutral sentiment for tech stocks.",market
e187ee88-e194-47d8-a86b-78838c1c00f1,0,"The headline explicitly states a ""Sell Rating"" and asks if investors should be ""Worried"".",company
7d744b3a-2532-45cc-8e03-52ca7a9ee6a3,0,"The headline explicitly states ""Futures Drop"" and a ""Momentum Massacre"".",market
91cb063b-d115-4d3f-9da2-d919d9aa5bb6,2,"The headline mentions the S&P 500 ""turns green"" and a company ""rises again"".",market
2cc1fe4f-e493-460b-9685-63074e467df2,0,"The headline explicitly states the S&P 500 ""Slips"" and tech stocks ""Falter"".",market
018e57c7-458f-4dbf-abc9-7c9c206e0b9f,2,"The headline mentions ""Top Dividend Stocks to Buy"", which is a positive recommendation.",company
71e7f007-9559-431d-be38-f0dfaa5890ae,2,"The headline explicitly states the stock is ""Trading... Higher"".",company
a6231a37-7d1b-489c-8f85-cb081aa0aac3,2,"UAE pledges a massive $1.4 Trillion investment in US tech, which is a significant positive for the industry.",industry
3641bdbe-14cd-4e21-8fc7-d4b663436732,0,"The headline and description explicitly state the stock is ""Plummeting"" and ""sinking"".",company
f719ecb1-5879-44ff-866c-d70aacc7a1e7,2,"The title mentions shares ""surge"" on a strong forecast.",company
1afc7a75-f6dd-4692-8825-22cda8b39592,2,"The headline states futures are ""steady"" and at ""record highs"".",market
4d327d8f-2186-4e20-96ee-1ace20054c22,2,"The headline mentions ""Transforming Data Management"" and ""world-first AI-powered NAS"", which are positive advancements for the company.",company
7fcba54a-0c96-45b4-bba0-e2cf1f66243a,1,"This is an announcement for an event, which is a neutral news item. The term ""Technology Sovereignty"" is also neutral.",company
00197c93-6efa-492f-8483-78fdf28d95e7,2,"The headline asks a positive-leaning question ""Set to Soar Again"" and the text mentions the stock ""soared 340%"" in the previous year.",company
7d9fa330-c7e1-47ea-9ac7-b37e29353336,2,"The headline explicitly states ""stocks close higher"".",market
fa94a308-1a7a-4d88-b542-21a8854c41d6,0,"The headline explicitly states the company was ""hit by cyberattack"" and faces ""operational disruptions"".",company
edd13a43-a6a2-469b-8da5-119b294793d9,1,"The article compares two stocks, a neutral analysis.",company
9c34050c-c61f-4a93-ae08-f687d8cbd677,0,"The headline and description mention ""Chip Tariff Threat Sparks Pushback"" and ""Blowback"", which are negative terms.",market
fe2a00ef-3e66-432c-8ec4-809e6b23f434,2,"The headline mentions a ""Rating Upgrade"" and the article states the stock is a ""buy"".",company
161c1e89-066c-4603-972f-425c837f9370,2,"The headline and description offer positive predictions and mention improved performance metrics.",company
263c1056-9cde-46b2-97c0-2dc08c64ad7f,2,"The headline suggests the stock ""Could Soar by 50%"" and says it ""performed well"" previously.",company
43a5a28d-4628-4060-9e74-53e98cdc12f1,1,"A neutral comparison of a company to its competitors.",company
eecf06ae-af33-4cd6-9c6e-61dc2f17e643,1,"This is a general analysis of a prediction method, which is neutral and not about a specific event.",market
72218c92-78b0-429f-94d1-0733b9cec3ff,1,"General news about what ""whales"" are betting, which is a neutral observation on market activity.",company
1ae50b6e-0ed3-4e15-acd5-a6d0f457cd7c,1,"The headline mentions a company ""challenging"" a competitor, which is a neutral competitive analysis.",company
c24ce014-ede0-42cc-8dd3-b159a46ba48e,0,"The headline mentions ""Worst Quarter In Years"" and ""AI Bubble Fears"", which are negative terms.",market
5cf0532c-e9a4-49b2-9e08-0b5d699d9dc3,1,"General geopolitical/trade news, no specific event for the company.",market
c13d7af5-5696-4cb7-b4b4-7129fe3a5050,0,"The headline mentions Q4 earnings are ""expected to be hit"" by a supply delay, which is a negative forecast.",company
c6929f16-c4a3-4ba1-a6fe-4757b5308250,1,"This is a general market analysis of a technology, not a specific event for a company.",industry
b1dac305-7c7c-4940-ab5c-ad51b4016546,2,"The headline states the stock ""Surges"" amid a chip deal.",company
1c739d76-be7c-47f5-b78c-af0fd7db80fa,0,"The title mentions ""Bubble-Level Valuations"" and ""Can’t Hide"" this, which is a negative-leaning analysis.",market
689711a6-3be0-488f-83e1-ff8d7ddd94bb,2,"The headline states ""Why I bought a LOT of ASX technology shares"", implying a positive outlook.",industry
e3489cf9-1a5a-40a1-949b-b464aacc4ccc,2,"The headline mentions ""more upside"" and a price target that ""may justify"" a high price, indicating a positive outlook.",company
a12ccdee-cf68-4009-beb2-5b5248e0c22b,1,"The headline mentions a ""mixed finish"" and ""ran out of momentum"", which is a neutral-to-slightly-negative outcome.",market
e84d75ae-0260-4096-b5c7-b84c9c341d9b,1,"Introducing a new product is a neutral business update.",company
052f5ea0-4d39-4b25-9da8-5867f65c8ee4,2,"The headline states ""Dow jumps"", ""S&P nears record"", and ""Nasdaq climbs"".",market
a0732479-2645-4bcf-ade0-82d09648d3db,0,"The headline mentions the company ""Scales Down"" IPO plans.",company
1fa9c452-1a46-41e2-b14c-d1b6f4ac9122,0,"The article compares a stock to a ""meme stock"" and raises questions about its valuation, which is negative.",company
1eb9f288-09ca-4a84-921e-c216849164b3,0,"The headline states stocks ""cannot get out of the red"".",market
1222810c-6439-4a03-b084-4de6d86731ef,1,"Appointing a board member is a neutral, routine corporate announcement.",company
0dc5419a-309f-4d60-b9e1-88cef912db30,0,"The headline explicitly states the market ""starts... with losses"" and ""downturn"".",market
8dff9907-fc40-454f-ad27-24206a768e10,1,"This is a general analysis on gold as a commodity, which is not directly related to a specific company or market event with a clear sentiment.",market
2b8a6921-c25a-4d70-ab12-1bf765219bc5,1,"This is a neutral analysis of a company's competition.",company
7592e144-b61c-4e78-8bbb-672beac48027,2,"Strategic collaboration with a major company like NVIDIA is a positive business development.",company
c44f8572-3277-4020-b3cf-c0d905d9aa0c,2,"The headline states shares ""firm"" on hopes for trade deals.",market
ae11e813-732a-471a-94a0-18957cb49375,2,"The headline states indices ""Open Strong"" and are ""up"".",market
fedab87c-7cdb-4d90-84a8-c3e7054970cc,1,"The headline states stocks are ""mixed"", which is neutral.",market
27f2d481-1873-43e5-954e-851c233dfa11,2,"The headline and description mention a ""Looming Breakout"" and ""robust growth"" and ""solid demand"".",company
3e4e21a7-d913-4453-bede-4dcba6ee86ff,1,"The headline mentions ""Mixed Trading"" with tech gains but the Dow slipping, making the overall sentiment neutral.",market
8187d92e-3b2e-4c6c-988f-8e43b9cfab77,0,"The headline and description state that issues are ""battering stock market sentiment"".",market
b872e50d-bd5f-4dae-bae6-0064783203bc,2,"The headline asks a positive-leaning question ""To Surge 20%"" and discusses an upcoming earnings report.",company
1f3dc9e9-1f47-4c35-bde5-af44ee89c10d,0,"The headline mentions the market ""dips"" due to tariff tensions.",market
bf8cfd71-cbda-4866-9f7e-0d9593ccc4a7,0,"The headline explicitly states the stock ""Falls 9%"" due to tariffs.",market
6c2240b0-81f0-4405-9207-90b5f14a6841,0,"The headline explicitly states stocks ""Plunge"".",market
7df79168-4f64-4913-ad73-aa643b0bec33,1,"The headline mentions a mixed day with some gains and some drops, but focuses on the anticipation of earnings which is a neutral event.",market
c769ebcf-e1ac-4f24-a4d1-bdc968c993b9,0,"The headline states indices ""Retreat"" due to tariff impact.",market
23706c26-f33d-495b-a882-ec6d063936bc,1,"A neutral analyst blog that highlights several companies without a specific positive or negative event for one.",company
82ac1921-8891-49cd-835e-c79d72eada05,2,"The headline asks a positive-leaning question ""the Best Big Tech Stock to Buy"".",company
afa1553d-cd2e-4260-9929-42d1bdc2435b,1,"Silver Lake nearing a deal to acquire a stake is a neutral business transaction.",company
ad57c277-d43b-440f-898e-d0b6d8ab8b0a,2,"Acquiring shares in a company is a positive transaction for the acquirer.",company
8843e1ab-48f8-489c-8d39-83fd376a61cc,0,"The headline states ""Equities Stumble"" and mentions ""stagflation fears"".",market
8d84af38-099a-4f24-a71b-18211bd68265,2,"The headline explicitly states ""Futures Rise"".",market
93211693-6927-4c16-9dc5-87c27e4c190b,2,"The headline mentions a ""winning streak"" and ""Massive AI Upside Potential"".",company
43966bbe-e61d-43dd-8570-c084ed16846c,2,"The headline mentions a stock ""Upgrade"" and describes ""revenue growth"" and ""AI-driven growth"".",company
4ed3fd60-340a-465d-b334-233e8ff8a3e6,1,"Announcing a meeting is a neutral, routine corporate announcement.",company
1aa52747-be5e-4419-add8-30aece67702f,0,"The headline explicitly states ""U.S. Markets Decline"".",market
9a8a7637-f066-4efd-95bb-e29a54e0abbe,0,"The headline states ""Dow drops"".",market
9da0bdef-9e04-413b-9e58-c50dd4ab734a,0,"The headline and description state the stock ""Drops"" due to market downturn.",company
87cc58a3-808b-4124-aec1-5b1169da59ee,0,"The headline mentions ""Stocks navigate a ‘Fog of Uncertainty’"" and the description mentions ""investor sentiment declines"" and stocks ""struggle"".",market
78f372d0-16c9-4c28-a9f6-149267a52736,2,"The headline mentions ""rebound"" and companies delivering ""headline-making moves"".",market
f8fbc868-a37d-4f67-b7d8-bdad083ad78c,2,"The headline mentions the company ""hits the jackpot"" and its stock ""rises over 5%"" due to a trade truce.",company
e35130f3-cbc1-49a0-9e5e-aaf876b02f68,2,"The headline mentions ""groundbreaking AI advancements"" and a ""70x performance boost"".",company
5371fe33-bbb2-4026-b659-a10140e8c56e,2,"The headline mentions Big Tech is ""Back In The Driver’s Seat"" and provides ways to ""Profit"".",industry
0babb451-7a29-441e-b682-fbb9e5e9c3e7,1,"The headline mentions a mixed market, with some indices up and some down, while awaiting trade talks.",market
33cd12d3-875d-43dc-a229-4167e2794068,0,"The headline explicitly states stocks are ""tanking"".",market
8779b64b-f828-42d5-a140-5e6f09f78d35,1,"Neutral article about a company attracting investor attention without a specific positive or negative event.",company
c6628555-e151-4a08-b0d8-7f9dd5f5f1f9,0,"The headline states shares ""fall"" due to a debt offering.",company
e8f10c50-cc08-4c26-993d-0007b38536bc,0,"The headline explicitly states the market ""tumbles"".",market
c0397e5e-15ae-4de9-adee-7f8a7cb9fbe4,2,"The article mentions an analyst is ""still bullish"" and expects a ""strong rebound"".",market
b42dbff0-dc23-46f6-9dd8-2fd08daf0416,2,"The headline explicitly states the index ""Extends Gains"" and stocks ""surge"".",market
59e00015-2654-4c25-849e-f5285399a508,2,"The headline suggests a decision ""May Help Unleash $150 Trillion"" which is a highly positive event.",market
7a65bc6c-7b72-4b4b-9b3e-16cd23f77048,2,"The headline mentions positive performance with funds gaining.",market
c5aef7cf-2a93-4807-b717-09c0fe40e2d8,0,"The headline explicitly states indices ""fall"" and ""slide"".",market
1391c91f-39d0-4d95-8418-189e421dfe83,1,"Investment update is a neutral, routine corporate announcement.",company
19e1ec7d-b235-4752-ad30-785c59df85b8,2,"The article mentions a fund ""rose around 65%"" and offers a solution for volatility, which is a positive outlook.",market
e83591f3-9640-4929-9394-a086b99883dc,2,"The headline offers ""Ultra-Safe... to Buy"" stocks, which is a positive recommendation.",market
c2ce8e46-5f66-4064-857c-4408f207373d,1,"This is a neutral look at key metrics without a clear positive or negative event being described.",company
122e8e23-b346-4c0e-9f38-d9dee6b3c2ea,2,"The headline explicitly states tech stocks ""enter bull market"" after a breakthrough.",industry
a2538d88-09c8-4357-bf2d-5ba54f43ae88,1,"The headline states ""opportunities abound"" but is not focused on a specific company event, making it a general, neutral statement.",market
9192ea13-65cb-4a93-b6c8-9b1421af51c9,0,"The headline states the stock ""Keeps Falling"" due to debt issues.",company
1b2cb991-b3ed-4515-b7b8-2c5e1a975446,1,"This is a neutral analysis of whether a company's chips can provide a positive ""tailwind"".",company
4134cbc9-b9be-437a-9ecc-2aec44371783,1,"Announcing a debenture issue is a neutral financial event.",company
8e747321-6ed4-4d9a-870f-301faa6effde,2,"The headline explicitly states stocks are ""Seeing Modest Strength"" and ""have moved mostly higher"".",market
1c95321b-5629-4597-ad47-06f30f1e2252,2,"The headline mentions a ""smart Buy The Dip’ Play"" and a ""monster dividend yield"".",company
2217659d-1ec1-4df3-932e-bd2e71c5a0c8,0,"The headline and description state the company ""Reduces Dividend"" and that analysts forecast ""potential downside"".",company
fe8f957a-522d-4c49-92ad-309061da0dd5,0,"The headline explicitly states ""Futures Slide"" on ""disappointing earnings"".",market
2e73a0de-8e00-4a19-a7eb-fe251c77d479,2,"The headline states the market ""hails US-China trade deal"" and is heading for its ""biggest single-day jumps in months"".",market
9b76defd-6c2e-43fb-bd41-939993bf140d,0,"The headline explicitly states ""Markets Shudder"" and the S&P had its ""Worst Day In 5 Years"".",market
521c8903-458c-45d6-af56-3c3e862b4846,0,"The headline explicitly states ""Tech Stocks Decline"" and a company ""Loses $139 Billion in Value"".",market
928f5e2c-0d09-4328-88a9-b912eecb3b73,1,"A neutral comparison of different technologies.",industry
4e6353b3-b0d5-4fb1-8cc5-03ce4ff63212,2,"The headline explicitly states ""Dow Pops"" and bitcoin ""Tops $100,000"".",market
aa091ff3-abae-4848-b9d6-924a23df38e8,2,"The headline mentions shares are ""mostly higher"" and the economy ""looks healthy enough"".",market
ee8b1e4f-21c5-4a68-9279-ee21098eca19,1,"Announcing results is a neutral event. The sentiment is based on the results themselves, which aren't provided.",company
918b5c01-6d1a-4678-bb8f-44a7e3edf786,2,"The headline contains the explicitly positive phrase ""It's (Almost) Time to Buy"".",company
9e435aa8-640b-47f0-8992-075eacdbf095,1,"A neutral, forward-looking article about what to expect from the earnings season.",market
fa8d36fd-3c53-42ad-af4c-bed54a0848c0,1,"Announcing the date of an earnings release is a neutral, routine corporate announcement.",company
8d6128a2-11ca-40ca-a6bf-c44e01cf6f88,2,"The headline explicitly states a company ""Has Made a Historic Comeback"" and the article quotes someone saying the situation is ""wildly bullish"".",company
411eef8f-a2e9-4b6f-9f73-c27feebac035,1,"Neutral analysis of an IPO without a clear positive or negative outcome.",company
4a6328ce-34ed-424f-ba57-f79e4b0585af,2,"The headline mentions a ""market rally"" as investors ""cheer"" a decision.",market
046db7b0-7146-4dd7-8eab-e5e05e22cbd9,0,"A lawsuit is a negative event for the company.",company
42f9602c-eca4-4300-aa53-83e7751dbd7b,0,"The headline explicitly states Wall Street ""Plunges"" and a ""Global Selloff"".",market
31ee00f7-1436-4430-af8a-b24e26dff7b5,0,"An executive selling a large amount of shares can be perceived as negative news.",company
827b0770-ad7c-4118-92e3-91f52a1c2d00,0,"The headline contains an explicit ""Downgrade"" and warns the company ""Could Burst The AI Bubble"".",company
6e09b839-04d2-44c8-b546-4c6028a1b519,1,"The headline mentions ""Bulls vs. Bears"" and a stock that ""slips"" but is a review of results, which are not explicitly stated, so it is a mixed/neutral article.",company
610c2650-c0e0-4e83-8424-b74f05ce808a,2,"The headline states futures ""jump"" and sentiment is ""lifted"".",market
71a3b6f4-32c6-461e-9794-b6e03e7bdadf,2,"The headline mentions the company is among the ""Best Stocks to Buy"".",company
7af60e82-1408-4b46-a81c-87e60039bc64,1,"General news about events to watch for the week ahead, which is a neutral news item.",market
b0971fed-3518-4c3b-a0a8-1d9ecf7780f2,1,"Reporting quarter and year-end results is a neutral event. The sentiment is based on the results themselves, which aren't provided.",company
c03be41e-1680-40c8-9b6b-2db81a043fa8,1,"Investment update is a neutral, routine corporate announcement.",company
c7054a12-ef9b-4ca7-aa53-e8519160877c,1,"A company rejecting a buyout offer is neutral. It could be seen as positive if the company believes it is worth more, but the headline is factual and not overtly positive or negative.",company
ec00cc7e-ae0b-48e1-b982-a3d2cbe82fbf,0,"The headline and description explicitly state the company had a ""disastrous Q1 2025"" with ""revenue declines"" and ""profitability woes"".",company
37b49c78-89b6-4dc7-981f-d675f91a6919,2,"The headline explicitly says ""Boost Your Portfolio"" and ""Attractive US Growth Stocks"".",market
ef573249-32b9-4262-a9a0-a24946152f01,2,"A share repurchase program is a positive event for shareholders, as it reduces the number of outstanding shares.",company
d2c99966-53e7-428c-9c36-7b3afb29d370,2,"The headline describes a ""Groundbreaking Partnership"" which is a positive development.",company
20c786c4-3938-49a5-b709-093c849a69e7,0,"The headline and description explicitly state the stock ""Dips"".",company
63d9741d-2ebc-43d0-87f0-de570c1f8549,0,"The headline explicitly states ""Stocks Plummet"" and mentions ""Recession Fears"".",market
1e28a8ae-bf81-4ad2-872d-4bc2a815f499,2,"The headline uses the positive phrase ""shakes up"" and mentions ""innovative breakthroughs"" and ""strategic advancements"".",company
480ab1dd-b00e-42d5-b21a-dc2c8a85db35,1,"An earnings preview is a neutral, forward-looking article. The sentiment depends on the actual earnings, which haven't been released yet.",company
aef61bbb-bf2c-47b3-a3eb-3b5b89a2c992,1,"The headline mentions companies ""Have to Prove Themselves"" which is a mixed/neutral statement, and the description mentions a drop in searches, which is negative, but the overall tone is not strongly negative.",company
100192fe-e9bb-4bd2-9849-914180f2a05d,0,"A hedge fund ""Cuts Down On"" stock holdings, which can be perceived as negative sentiment.",company
77e69f77-7080-44b7-93e5-136f010633e4,2,"The headline explicitly states ""Futures Push Higher Into Record Territory"".",market
8e5ae411-0c77-4abc-b012-7e74b724472d,0,"A company reducing its stake in another company by a significant amount is generally seen as a negative event for the company whose shares were sold.",company
68653929-bf0e-4071-8450-c6a63e399d43,0,"The article explicitly states the stock ""Moves -0.15%"".",company
ce71ce6c-aa9f-4e87-9e47-cee2b2b8506f,2,"The headline mentions a ""Bull Case Theory"" which is explicitly positive.",company
eb594fcf-8ff2-4c0f-a591-f1456f50d7b4,1,"Earnings call transcript is a neutral, factual document. The sentiment is based on the content of the discussion, which isn't provided.",company
239895f0-a687-4366-b2b2-f71758424e78,0,"The article explicitly states the stock ""Moves -1.09%"".",company
966f83b0-c8e3-4838-bfa8-7778fb365c3d,0,"The headline explicitly states investors ""pay for it"" and mentions ""fear of slowing economic growth"".",market
6b664bce-9f95-47f3-a373-b18f3725bc9e,0,"The headline mentions a ""Tariff Tussle"" and ""Dead Cat Bounce,"" which are negative and mixed terms. The article is focused on the negative impact of tariffs.",market
