text,y
Japan's Asahi to submit bid next week for SABMiller's Grolsch and Peroni - Yomiuri,2
Analyst Views: Astrazeneca shares have seen recent volatility; what will 2015 ...,0
CompaniesDixons Carphone to close 134 UK stores as sales jump,2
"Broker tips: RBS, Croda, Sage",2
"Broker tips: RBS, Croda, Sage",2
Shell share price: Standard Life announce position against BG acquisition,0
Shell share price: Standard Life announce position against BG acquisition,0
Tesco share price down as grocer faces SFO investigation outcome,0
"Britain's FTSE outperforms Europe, Royal Mail and Tesco rise",2
Greene King's third quarter sales boosted by festive season,2
ARM Royalties Accelerate as Smartphone Market Regains Strength,2
ConAgra Names Former Hillshire Farms CEO Connolly to Top Post,2
InterContinental Hotels Group share price climbs on $1.5bn special dividend,2
Amazon to attack UK grocery market with Morrisons deal,2
AstraZeneca share price: Acerta deal pays off with orphan drug status,2
"BHP Billiton posts big loss, slashes dividend",0
Merged LSE and Deutsche BÃ¶rse would be led by Germany's Kengeter,2
BG Group appoints new CEO one month early,2
"Should You Buy Jumbo Yielders British American Tobacco plc, Centrica PLC & John Wood Group PLC?",2
"Should You Buy Jumbo Yielders British American Tobacco plc, Centrica PLC & John Wood Group PLC?",2
Is Trouble Brewing At Legal & General Group Plc And Aviva plc?,0
BHP Billiton drags FTSE lower after slashing dividend,0
"BHP Billiton slashes dividend, posts $5.67 billion net loss",0
CompaniesMeggitt profits hit by weak energy and military markets,0
Royal Mail share price edges lower as group raises stamp price,0
"Glencore Cuts 2015 Budget, Plans To Divest From Lonmin",0
GlaxoSmithKline starts hunt for successor to CEO Witty,1
"Rio Tinto swings to loss, drops dividend policy",0
France raises concerns over proposed LSE-Deutsche Boerse deal,0
MarketsBP promotes upstream boss to deputy CEO,2
Legal & General share price: Finance chief to step down,0
Barclays poaches new chief operating officer Paul Compton from JP Morgan Chase,0
Arm profits and sales up as shift away from mobile gains pace,2
Barclays appoints JPMorgan's Paul Compton as new COO,1
Barclays appoints JPMorgan's Paul Compton as new COO,1
U.S. Debt Lures Schroders as ECB Depresses Rates,1
"FastJet slams EasyJet founder Stelios for going public, is 'taking legal advice' over letter about contractual ...",0
NYSE owner ICE considers offer for LSE,2
News FeedFTSE 100 movers: LSE surges as ICE says mulling offer; Ashtead and Barclays tank,2
News FeedFTSE 100 movers: LSE surges as ICE says mulling offer; Ashtead and Barclays tank,2
Balfour Beatty plc Set To Reinstate Dividend (And Rival National Grid plc And Centrica PLC Once More?),2
Balfour Beatty plc Set To Reinstate Dividend (And Rival National Grid plc And Centrica PLC Once More?),2
Balfour Beatty plc Set To Reinstate Dividend (And Rival National Grid plc And Centrica PLC Once More?),2
Intertek swings to Â£347 mln loss on oil's slump,0
Sanofi poaches AstraZeneca scientist as new research head,2
Tesco breaks its downward slide by cutting sales decline in half,2
"News FeedSchroders books solid earnings growth, several board changes",2
Intertek Group announces strategic update outlining its plan,1
London Stock Exchange seals Â£22 billion merger with Germany's Deutsche BÃ¶rse,2
Tullow Oil Suspends Dividend Amid Oil Price Fall,0
NYSE owner ICE may gatecrash Deutsche Boerse-LSE merger,0
AB InBev to Sell SABMiller Stake in China's Snow Beer,1
LSE-Deutsche Boerse merger would signal end to exchange mega-deals,2
RBS Pays $1.7 Billion to Scrap U.K. Treasury's Dividend Rights,2
Industry NewsWolseley confident in reslilience amid mixed markets,2
Tesco criticised for 'disgraceful' advert showing domestic worker being slapped,0
FTSE edges up as investors cheer Kingfisher results,2
Barclays Bonds Rise as Lender Cuts Dividends to Shore Up Capital,2
Britain's FTSE gets lift from Prudential results,2
Amazon's grocery deal with Morrisons is only the beginning,2
"Oil majors like Royal Dutch Shell, Chevron, BP fail to find reserves to counter ...",0
ICE Said to Start Lining Up Financing for LSE Bidding War,2
"BP, Statoil, to Withdraw Staff From Algeria Following Rocket Attack",0
Merkel's Government Said to Support Deutsche Boerse-LSE Merger,2
Aviva weighs cash handout after beating profit forecast,2
"WPP, World's Largest Ad Agency, Reports Strong 2015 Growth",2
"Saudi Aramco, Shell plan to break up Motiva, divide up assets",0
"Saudi Aramco, Shell plan to break up Motiva, divide up assets",0
AB InBev to sell more SAB assets as seeks EU deal approval,0
Tesco's Sales Pickup Isn't Enough,0
Spain's CaixaBank Expects To Close Deal For Banco BPI,2
ITV share price: Group mulls takeover of Canada's Entertainment One,2
Entertainment One dispels ITV takeover rumours,2
Entertainment One dispels ITV takeover rumours,1
GE to Sell Majority Stake in Bank BPH's Core Bank to Alior Bank,2
GE to Sell Majority Stake in Bank BPH's Core Bank to Alior Bank,2
Tata Steel working with StanChart for UK unit sale - source,2
Tata Steel working with StanChart for UK unit sale - source,2
Crown Castle buys Tower Development Corp for $461 million,2
Tesco sells half of stake in ecommerce site Lazada to Alibaba for Â£90m,1
Tesco sells half of stake in ecommerce site Lazada to Alibaba for Â£90m,2
"CaixaBank, dos Santos Agree on Plan for BPI Angola Exposure",2
"BPI Says Caixabank, Isabel dos Santos Reach Agreement Over Angola Exposure",2
Spain's Caixabank launches new takeover bid for Banco BPI,2
"Despite sales growth, UK's Tesco cautions recovery to be bumpy",0
ITV to pursue takeover of Canada's Entertainment One: Bloomberg,2
Shire Sees Baxalta Deal Closing as Expected After New Rules,2
"OCBC to Buy Barclay's Wealth Management Unit in Singapore, Hong Kong",2
Tesco share price steady as analysts weigh in on results,2
Standard Chartered lags on capital worries,0
Lloyds Banking Group's share price lifts amid reports bank is poised to axe hundreds of UK jobs,2
Should You Follow Berkshire Hathaway Into Apple Stock?,1
Morrisons book second consecutive quarter of sales growth,2
Royal Mail gets mixed bag from Ofcom postal regulation report,0
UPDATE 3-Ex-Barclays director accused by US of illegal tips to plumber,0
Standard Life share price: Insurer buys advice firm Pearson Jones,2
"EU regulators clear $100 billion-plus AB InBev, SABMiller deal",2
Retail giant Kingfisher reports 'solid' start to the year,2
Tesco closes in on new chairman with Dixons Carphone's John Allan in the frame,2
Tesco closes in on new chairman with Dixons Carphone's John Allan in the frame,2
"Berkshire discloses unit's ties to Iran, opens probe",0
Berkshire Hathaway names Kara Raiguel to lead General Re unit,2
"European stocks hover near 3-week low, Dialog and BHP slump",0
Hargreaves Lansdown bucks weak markets to see assets rise 2.6 percent,2
MillerCoors Delivers 2.9% Underlying Net Income Growth for 2014,2
Australia clears AB Inbev's $100 billion SABMiller buyout plan,2
Goodwin not to face Scottish prosecution over RBS,2
Royal Mail turnaround proving expensive in tough UK market,0
Whitbread buys 49% stake in Pure food chain,2
"Irish Said Chasing Standard Chartered, RBS as Brexit Vote Nears",2
Royal Mail share price rallies amid positive broker comments,2
InterContinental Hotels first-quarter global room revenue lags estimates,0
Aspen to Buy Anaesthetics From AstraZeneca for $520 Million,2
London Stock Exchange â€“ Deutsche Boerse merger under threat from Brexit,0
Sainsbury CFO Rogers to Replace Home Retail CEO Walden,1
Sainsbury CFO Rogers to Replace Home Retail CEO Walden,1
BP joins forces with Det Norske in Norway,2
BRIEF-Legal & General's retirement business books 4 billion stg H1 sales,2
Johnson Matthey revs up on clean air drive,2
RBS will reportedly appoint Howard Davies as its next chairman,2
"Goldman Sachs, Barclays, HSBC downplay Brexit threat",0
"Goldman Sachs, Barclays, HSBC downplay Brexit threat",0
"Goldman Sachs, Barclays, HSBC downplay Brexit threat",1
Asahi could be about to snap up more of SABMiller's beers ahead of AB InBev sale,2
Asahi could be about to snap up more of SABMiller's beers ahead of AB InBev sale,2
LSE-Deutsche BÃ¶rse dealmakers wrong to ignore Brexit risk,0
LSE-Deutsche BÃ¶rse dealmakers wrong to ignore Brexit risk,0
HSBC Hit by Fresh Details of Tax Evasion Claims,0
Tesco sales recover as focus returns to core business,2
Johnson Matthey profit falls but dividend rises,1
"Are ARM Holdings plc, Domino's Pizza Group plc and ASOS plc 3 must-have growth stocks?",2
"Are ARM Holdings plc, Domino's Pizza Group plc and ASOS plc 3 must-have growth stocks?",1
Priceline's stock jumps to new high for the year after Barclays upgrade,2
"Tesco set to sell Kipa, Giraffe businesses - Sky News",2
"Tesco set to sell Kipa, Giraffe businesses - Sky News",0
Relief for Lewis as Tesco sees sales grow for first time in a year,2
The Coca-Cola Company and Coca-Cola FEMSA to Acquire AdeS Soy-Based Beverage Business From Unilever,2
The Coca-Cola Company and Coca-Cola FEMSA to Acquire AdeS Soy-Based Beverage Business From Unilever,2
HSBC Says Unit to Book $585 Million Charge on Settlement,0
"Hammerson, JV Partner secure ownership of Ireland's Dundrum - Quick Facts",2
Aviva promises higher dividends to boost flagging share price,2
CompaniesFresnillo shares jump 8% as silver price breaks $21,2
"Should you buy Associated British Foods plc, Great Portland Estates plc and Dunelm Group plc following today's news?",2
"Should you buy Associated British Foods plc, Great Portland Estates plc and Dunelm Group plc following today's news?",2
Berkshire seeks to boost its Wells Fargo stake above 10 percent,2
Tesco share price tumbles after negative broker note,0
London Stock Exchange Shareholders Approve Merger With Deutsche BÃ¶rse,2
UPDATE 1-Berkshire applies to boost Wells Fargo stake above 10 pct,2
Berkshire applies to boost Wells Fargo stake above 10 percent,2
"Aviva, M&G suspend property funds as investors panic",0
"UK housing market steadies after Brexit dip, Persimmon says",2
BRIEF-Aviva aims to increase dividend pay-out ratio to 50 pct in 2017,2
Morrisons finance chief to fill gap as CEO leaves early,0
Builder Persimmon hails 6% rise in house sales,2
EasyJet attracts more passengers in June but still lags Ryanair,2
"UPDATE: Persimmon Profit Up Strongly, Outlook Positive",2
TRLPC - CRH backs Lafarge Holcim asset buy with 6.5 bln euro bridge loan,2
Tesco shareholders back ITV head for chairman,2
"Buffett's Berkshire builds Deere stake, dumps Exxon",0
"Buffett's Berkshire builds Deere stake, dumps Exxon",2
Aviva Fined $27 Million by U.K. Regulator Over Fee Failings,0
AstraZeneca's patent on asthma drug invalidated by US court,0
Rolls-Royce to Ensure Compliance After Petrobras Bribery Report,0
Whitbread share price climbs on Q4 sales growth,2
Warren Buffett defends Berkshire Hathaway's conglomerate structure,2
G4S sees profits rise but UK contract problems remain,2
Friends Life lifts profits 38% and hikes divi ahead of proposed Aviva takeover,2
Auto Trader share price surges as company floats on LSE,2
New Credit Suisse boss faces stiff challenge in Asia,0
"UPDATE: EasyJet Passenger Numbers, Aer Lingus Traffic Up In February",2
"UPDATE: EasyJet Passenger Numbers, Aer Lingus Traffic Up In February",2
Is It Worth Investing In Tesco PLC And Prudential plc Now?,2
Insight hires Aviva's David Hillier for multi-asset team,2
UK WINNERS & LOSERS: Aviva And Friends Life Lead FTSE 100 Gainers,2
Sainsbury's says to outperform rivals in tough market,2
CompaniesKingfisher bid for Mr Bricolage runs into trouble,0
UPDATE 3-Auto Trader shares leap in UK's biggest private equity-backed listing,2
"London open: Taylor Wimpey and Ashtead drive markets higher, Barclays falls",2
"London open: Taylor Wimpey and Ashtead drive markets higher, Barclays falls",0
"London open: Taylor Wimpey and Ashtead drive markets higher, Barclays falls",2
GSK and Novartis complete deals to reshape both drugmakers,2
"Aviva, Friends Life top forecasts ahead of 5.6 billion pound merger",2
Citigroup to Sell OneMain to Springleaf for $4.25 Billion,2
Citigroup to Sell OneMain to Springleaf for $4.25 Billion,2
"U.K. Stocks Resume Gains to Rally to Record; CRH, Tullow Climb",2
British American Tobacco drops and sues PwC over pollution scandal,0
UK's FTSE has worst day so far in 2015 as BG and Prudential fall,0
"Kraft, Cadbury's and Britvic in Total Recall: how pulling a product affects profit",0
"Kraft, Cadbury's and Britvic in Total Recall: how pulling a product affects profit",0
How Kraft-Heinz Merger Came Together in Speedy 10 Weeks,2
AstraZeneca Teams With Daiichi Sankyo To Sell Movantik In US,2
AstraZeneca Teams With Daiichi Sankyo To Sell Movantik In US,2
RBI surprises Street; Sensex pares gains after hitting mount 30k,0
Credit Suisse poaches Prudential's Thiam for Asian push,1
Credit Suisse poaches Prudential's Thiam for Asian push,2
Kingfisher takeover of Mr Bricolage could hit a brick wall,0
"U.K. Stocks Little Changed Near Record as Barclays, Shell Fall",0
Insurers: Admiral blows hot and cold but Aviva soars pre-Friends Life merger,2
AstraZeneca And Daiichi Sankyo To Jointly Commercialise MOVANTIK In The US,2
AstraZeneca And Daiichi Sankyo To Jointly Commercialise MOVANTIK In The US,2
Legal & General arm buys 50 pct stake in MediaCityUK in Manchester,2
Randgold profit hit by poor gold price but dividend still increases,0
"CompaniesTravis Perkins lifts dividend, earnings rise 15%",2
Market Report: Aviva tops the market as traders approve of its choice of Friends,2
Insurer Old Mutual picks Standard Bank's Hemphill as new CEO,1
Primark racks up a happy Christmas after strong sales,2
"FDA panel backs safety updates for AstraZeneca, Takeda drugs",0
"FDA panel backs safety updates for AstraZeneca, Takeda drugs",2
CompaniesDiageo stays neutral on India boardroom turmoil,1
UPDATE 1-Pearson expects to grow this year after solid end to 2014,2
Germanwings disaster will not affect image of budget air travel - easyJet,2
Germanwings disaster will not affect image of budget air travel - easyJet,1
Shell's $70 Billion BG Deal Meets Shareholder Skepticism,0
Tesco sells Blinkbox and broadband service to TalkTalk,2
Tesco sells Blinkbox and broadband service to TalkTalk,2
Shell offers 50 percent premium to buy BG for $70 billion,2
WPP boosts sales despite cautious clients,2
Shell to buy BG Group in $69.7 billion takeover,2
LONDON MORNING BRIEFING: HSBC And Standard Chartered Shares Rise,2
UPDATE 1-BP shareholders back more disclosure on climate change risks,1
Shell challenges Exxon dominance with 47 billion-pound bid for BG,2
Shell challenges Exxon dominance with 47 billion-pound bid for BG,0
Royal Dutch Shell to Buy BG Group for Nearly $70 Billion,2
City spirits sink after Diageo comes up short with sales slide,0
Diageo receives reports from United Spirits on financial irregularities involving ...,0
Diageo receives reports from United Spirits on financial irregularities involving ...,0
Unilever profit rises despite sales slump in China,2
Rolls-Royce Wins $9.2 Billion Order From Emirates Airline,2
Tesco sales rise shows tentative recovery continues,2
Diageo sales disappoint as currency and comparatives leave bitter taste,0
Tesco leads leap in FTSE 100; Marks & Spencer drops,2
AstraZeneca profit down as sales of stalwarts fade,0
"Whitbread Profit Up As Sales Continue To Rise, Looking For New CEO",2
Glencore blames rivals for creating metals glut,0
Doubts grow over GlaxoSmithKline's $6 bln capital return plan,0
easyJet leads Britain's FTSE lower as global bond rout resumes,0
Imperial Tobacco Adds Quarterly Dividends After Profit Rose,2
Royal Dutch Shell profit rises; dividend up 4%,2
BG Group Still Happy With Shell's $70 Billion Offer,2
SABMiller buys Meantime to quench thirst for craft beer,2
Aviva shuts Friends Life head office in rapid integration move,0
Retailers Kingfisher and Sports Direct rise in Britain's share index,2
"GlaxoSmithKline targets growth across units, scraps ViiV IPO",2
Tesco share price closes higher as two more directors leave grocer,2
Tesco leads FTSE higher on Clubcard bid reports,2
Eli Lilly & Co. (LLY) Has Broken Out To A New High On AstraZeneca Collaboration,2
"RPT-Old Mutual Q1 gross sales beat forecasts, up 18 pct",2
"UPDATE 3-BP settles oil spill-related claims with Halliburton, Transocean",0
"UPDATE 3-BP settles oil spill-related claims with Halliburton, Transocean",1
GlaxoSmithKline share price slips as FDA okays asthma therapy only for adults,0
Glencore chief blames rivals' overproduction for share price fall,0
"Philip Morris, BAT Sue Over Law Taking Branding Off Packs",0
"Philip Morris, BAT Sue Over Law Taking Branding Off Packs",0
Hargreaves Lansdown share price falls as costs mount - although pensions ...,0
"PRESS: Serco Set To Appoint Roy Gardner, Ex-Centrica, As Chairman - FT",2
"PRESS: Serco Set To Appoint Roy Gardner, Ex-Centrica, As Chairman - FT",2
UPDATE 1-Cypress Semiconductor offers to buy Integrated Silicon Solution,2
"UPDATE 1-Nomura, RBS must pay $806 mln in mortgage bond case-US judge",0
MillerCoors Board Names Gavin Hattersley Interim CEO,1
"Britain's FTSE gains, Land Securities up after dividend hike",2
"Britain's FTSE bounces back, Mondi and Barratt lead",2
"Britain's FTSE bounces back, Mondi and Barratt lead",2
Morning Agenda: Shire's Deal for NPS,2
Old Mutual First-Quarter Sales Up 18% Buoyed by Emerging Markets,2
Do it for me' trend underpins UK sales growth at Kingfisher,2
"Aldi and Lidl expansion plans speed ahead as Tesco, Sainsbury's, Morrisons ...",2
"Centrica extends gas deals with Gazprom, Statoil",2
"Centrica extends gas deals with Gazprom, Statoil",2
Carnival Corporation and China Merchants Group Sign Memo of Understanding ...,2
"Aberdeen AM posts H1 outflows, says conditions to remain challenging",0
Teva: FDA Approves Generic Version of AstraZeneca Heartburn Drug,2
Teva: FDA Approves Generic Version of AstraZeneca Heartburn Drug,2
Severn Trent share price jumps as Canadian investor renews pursuit of utility,2
New Morrisons duo get former boss's support to diffuse investor tension,2
"Britain's FTSE steadies, supported by Dixons Carphone",2
Glaxo's ViiV Healthcare Signs China Manufacturing Deal With Desano,2
AstraZeneca sells Caprelsa rights to Sanofi unit,2
UPDATE 5-Barclays Chairman McFarlane axes CEO to speed up strategic change,0
Miners Meltdown as BHP to Rio Tinto Sink in Commodities Rout,0
"FTSE led lower by M&S, GlaxoSmithKline",0
Morrisons faces festive sales test,0
GKN to buy Fokker Technologies for 706 mln euros,2
Diageo Sells Ryder Cup Venue Gleneagles Hotel to Ennismore Group,2
Diageo Sells Ryder Cup Venue Gleneagles Hotel to Ennismore Group,2
"UPDATE: CIB, Legal & General Sell Egyptian Life Joint Venture To AXA",2
Chime Communications Set To Be Acquired By WPP And Providence,2
"CompaniesNew Aggreko CEO to reshape business, strip costs",2
AstraZeneca to Pay Inovio Up to $700 Million for Cancer Drug,2
Rio Tinto CEO says iron ore market at equilibrium,1
US sanctions put Gazprom-Shell alliance plans in jeopardy,0
Standard Chartered Not Raising Capital Yet As Dividend Cut,0
Tesco share price dips as Blinkbox Books closes ending supermarket's digital ...,0
Tesco share price dips as Blinkbox Books closes ending supermarket's digital ...,0
"UPDATE 1-BHP Billiton's credit ratings fragile in FY16, agencies warn",0
CRH adds CR Laurence to acquisitions tally for $1.3bn,2
Stakes High for AstraZeneca Heart Drug Facing Tough Competition,0
Shire to buy NPS for $5.2 billion to boost rare disease drugs,2
Novartis buys remaining rights to GSK treatment in deal up to $1 billion,2
"AstraZeneca bags another cancer drug deal, this time with Inovio",2
REFILE-Aviva Investors to move 34 bln euros in assets from AXA fund arm,0
"L&G still paying price for dividend cut during crisis, chief says",0
Buffett's Company Reports 37 Percent Drop in 2Q Earnings,0
Travis Perkins Hikes Dividend 20% As Profit And Revenue Rise,2
"Tesco, Asda sales fall as march of the discounters continues: Kantar",0
Shire proposes $30 bln all-share tie-up with Baxalta,2
Shire CEO steps up drive to get Baxalta board talking,2
"Tesco, Asda sales fall as march of the discounters continues-Kantar",0
Verizon and AT&T accused of hurting rivals,0
"FTSE 100 falls as China devaluation hits Burberry, mining stocks",0
AstraZeneca's MedImmune Inks Licensing Deal With Omnis Pharmaceuticals,2
"Nine banks including Barclays, Citi, agree to pay $2 billion to settle forex ...",0
FDA approves Shire's Vyvanse for binge-eating disorder,2
CompaniesCar insurer Hastings Group driving Â£180m IPO,2
UPDATE 1-Dairy Crest loses a third of Morrisons milk contract,0
Glencore slumps 25 pct as debt fears grow,0
Horizonte acquires neighbouring Glencore nickel property in Brazil,2
Companies Thetrainline.com announces arrival of London IPO,2
UPDATE 1-Engineering firm Smiths Group confirms CEO appointment,2
Industry NewsMorrisons unveils which stores will close as 900 jobs face the axe,0
Glencore slumps 30 percent as debt fears grow,0
Aberdeen Asset Management Gains Foothold In China,2
ARM Holdings plc Partners With International Business Machines Corp. To Drive ...,2
ARM Holdings plc Partners With International Business Machines Corp. To Drive ...,2
"FTSE 100 drops 2.5 pct on Glencore, metals price fears",0
"After Barclays and Bank of America, Citigroup has blockchain in sight",2
"After Barclays and Bank of America, Citigroup has blockchain in sight",2
AB InBev approaches SABMiller to explore $250bn tie-up,2
EU regulator backs approval for GSK injectable asthma drug,2
Glencore fight back over debt fears lifts shares,2
"News FeedFTSE 100 movers: Ashtead jumps on strong interims; Glencore, BP in ...",2
Brewer AB InBev seeks $275 bln tie-up with SABMiller,2
AB InBev looks to win over SABMiller investors,2
UPDATE 1-EU regulator backs approval for GSK injectable asthma drug,2
Copper market may get a 2003-style supply shock from Glencore closures,0
Breakingviews: IAG can pay more for Aer Lingus,2
TalkTalk hires BAE Systems to investigate cyber attack,0
Renewed AB InBev Bid for SABMiller Ups Stake in Beer Battle,2
CompaniesAB InBev signals it won't go hostile for SABMiller,2
Tesco share price jumps as Q3 sales top estimates,2
AstraZeneca diabetes drug combination faces delay after FDA rebuff,0
Mylan Appoints Ranjan Ray Chaudhuri as Global Commercial Lead for Mylan's Over ...,1
SABMiller revenue hit by weaker EM currencies,0
UPDATE 5-SABMiller rejects AB InBev's $104 bln takeover approach,2
CRH's concrete bid for Holcim Lafarge assets,2
Market Report: Eight-day rally ends for FTSE 100 and Standard Chartered,1
AB InBev offers SABMiller $3 billion breakup fee,2
GSK joins China trade push as UK trumpets healthcare deals,2
AB InBev ups offer for SABMiller as deadline looms,2
Tesco PLC's Recovery Continues With A Â£250m Cash Infusion,2
"METALS-Zinc surges 12 pct after Glencore cuts output, fuelling metals rally",2
CompaniesUnilever sales lifted by ice cream in soft economy,2
AB InBev's Latest Bid Said Unlikely to Win SABMiller's Approval,2
Persimmon share price climbs on 23% rise in full-year revenue,2
Britain's FTSE forges ahead as Shire surges,2
AB InBev attacks SABMiller bid rebuffal,0
Anheuser-Busch InBev Increases Offer for Rival SABMiller,2
Why I'd Buy ARM Holdings plc And BHP Billiton plc Today,2
Barclays PLC & Lloyds Banking Group PLC Are The 2 Banks I'd Buy Today,2
EasyJet Dismisses Lufthansa Low-Cost Plan in Contest for Germany,0
Ruling sets lower limit on potential fine for BP,0
"EXCLUSIVE-BP, China's CNPC to unveil oil alliance - sources",2
SAB's Chairman Digs In With Board Divided on InBev Offer,1
Kinder Morgan and BP Form Joint Venture Limited Liability Company to Purchase ...,2
Supreme Court Upholds $236 Million Jury Award Against ExxonMobil,0
Standard Chartered's Shares Plunge 7% After Fitch Downgrade,0
Reed Elsevier share price slides on underwhelming full-year results,0
WPP wins race for 'programmatic buying' agency Essence Digital,2
BHP Billiton share price: Brazil to sue Samarco for Â£3.5bn,0
G4S slides on balance sheet worries,0
FDA approves AstraZeneca drug for advanced lung cancer,2
UPDATE 1-Meggitt reiterates annual outlook after tough 2014,1
HSBC appoints business leaders to board,2
"HSBC shakes up board with two new business chiefs, three departures",0
S&P downgrades Barclays and RBS on government bailout fears,0
Irish housebuilder Cairn Homes plans London listing,2
Arm slammed by handset sales outlook,0
CompaniesLSE adds ex-SEC head Schapiro to board,2
Sales boost for new Morrisons chief David Potts as Tesco turnaround stalls,0
FTSE 100 flat; Standard Chartered leads risers,2
CompaniesHoward Davies appointment as RBS director delayed,1
Keith Skeoch to step up as David Nish quits as chief executive of Standard Life,0
Passengers rise at EasyJet and Aer Lingus,2
Dixons Carphone profit boost on strong sales,2
"FTSE rallies off three-month low, boosted by StanChart, Sainsbury",2
"FTSE rallies off three-month low, boosted by StanChart, Sainsbury",2
"Royal Mail, Johnson Matthey lead FTSE lower",0
Sainsbury sales slip again as price pressures take a toll,0
Sophos aims to raise $100m in London IPO,2
UPDATE 3-Stifel to buy former Lehman brokerage from Barclays,2
Borealis Infrastructure putting together new Severn Trent bid,2
"FTSE falls to 3-month low on Greek debt concerns, easyJet skids",0
Johnson Matthey share price slumps as company posts full-year results,0
